backend,cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,label,model_name,n_predictions,notebook,pending_examples,phase,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,resumed_examples,stage,step,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,timestamp_utc
hf,0,0,0,0,1,378264211456,62.1,999327526912,621063315456,0.056836,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,0,setup,0.0,144799721,14910,668774400,2281984000,250615,131,39,inference,0,0.0,50899365888,25.7,68541702144,17642336256,2026-03-10T14:58:00.551775+00:00
hf,0,0,0,0,1,378264211456,62.1,999327526912,621063315456,0.509737,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,34.4,145594697,15058,761446400,2530619392,250615,131,,inference,1,0.0,50799505408,25.9,68541702144,17742196736,2026-03-10T14:58:01.058511+00:00
hf,0,0,0,0,1,378264211456,62.1,999327526912,621063315456,1.022874,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,3.0,145594941,15072,761540608,2530623488,250615,131,,inference,2,4.4,50809851904,25.9,68541702144,17731850240,2026-03-10T14:58:01.572139+00:00
hf,0,0,0,0,1,378264244224,62.1,999327526912,621063282688,1.536762,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,27.3,149662629,15084,801775616,2571141120,250615,131,,inference,3,3.6,50759925760,25.9,68541702144,17781776384,2026-03-10T14:58:02.087537+00:00
hf,0,0,0,0,1,378264244224,62.1,999327526912,621063282688,2.053566,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,27.3,149755411,15102,805027840,4214493184,250615,131,,inference,4,3.2,50751262720,26.0,68541702144,17790439424,2026-03-10T14:58:02.603336+00:00
hf,1068753920,1090519040,1068753920,1090519040,1,378264244224,62.1,999327526912,621063282688,2.565112,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,100.1,149755411,15102,818319360,3896971264,250615,131,,inference,5,13.3,50699341824,26.0,68541702144,17842360320,2026-03-10T14:58:03.115887+00:00
hf,1714172416,1906311168,1195913728,1906311168,1,378264244224,62.1,999327526912,621063282688,3.117509,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,96.9,149755411,15102,1130930176,5155561472,250615,131,,inference,6,6.6,50383118336,26.5,68541702144,18158583808,2026-03-10T14:58:03.631264+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264244224,62.1,999327526912,621063282688,3.631912,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,97.1,156731819,16509,1296662528,5285564416,250615,131,,inference,7,7.9,50201444352,26.8,68541702144,18340257792,2026-03-10T14:58:04.182687+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264244224,62.1,999327526912,621063282688,4.134918,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,0.0,157181363,16627,1298534400,5286588416,250615,131,,inference,8,2.5,50283831296,26.6,68541702144,18257870848,2026-03-10T14:58:04.683681+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264244224,62.1,999327526912,621063282688,4.638039,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,3.1,157192161,16643,1298546688,5286588416,250615,131,,inference,9,13.9,50296389632,26.6,68541702144,18245312512,2026-03-10T14:58:05.186813+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264244224,62.1,999327526912,621063282688,5.141379,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,3.1,157192985,16669,1298612224,5286588416,250615,131,,inference,10,3.3,50300448768,26.6,68541702144,18241253376,2026-03-10T14:58:05.689152+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264244224,62.1,999327526912,621063282688,5.655323,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,30.3,157292456,16691,1247145984,5198868480,250615,131,,inference,11,7.2,50322903040,26.6,68541702144,18218799104,2026-03-10T14:58:06.206098+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264244224,62.1,999327526912,621063282688,6.15906,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,6.1,157365073,16721,1247195136,5196115968,250615,131,,inference,12,4.7,50354098176,26.5,68541702144,18187603968,2026-03-10T14:58:06.709835+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264305664,62.1,999327526912,621063221248,6.660948,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,9.4,158764694,16745,1262731264,5212307456,250615,131,,inference,13,3.8,50336497664,26.6,68541702144,18205204480,2026-03-10T14:58:07.210729+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264305664,62.1,999327526912,621063221248,7.176002,obd_baseline_gemma_3_270m,google/gemma-3-270m,,obd_baseline_evaluation,,sample,1105.3,158764694,16745,1508741120,5489029120,250615,131,,inference,14,35.4,50089287680,26.9,68541702144,18452414464,2026-03-10T14:58:07.725777+00:00
hf,1714172416,1931476992,8519680,1931476992,1,378264305664,62.1,999327526912,621063221248,7.300763,obd_baseline_gemma_3_270m,google/gemma-3-270m,39,obd_baseline_evaluation,0,finished,1112.5,158764694,16745,1509445632,5490020352,373005,152,,inference,15,9.1,50092441600,26.9,68541702144,18449260544,2026-03-10T14:58:07.850537+00:00
